Location_Info,Latitude,Longitude,Date,WL(mbgl)
Madhya Pradesh Mandsaur Mandsaur Daloda,23.92500,75.09889,31-08-15,3.2
Madhya Pradesh Mandsaur Mandsaur Fatehgarh,23.98167,75.10333,31-08-15,4.1
Madhya Pradesh Mandsaur Mandsaur Gujarbardia,24.04167,75.18333,31-08-15,6.1
August month Depth to Water Level (In mbgl) Data of Unconfined Aquifer STATE_UT DISTRICT BLOCK VILLAGE_NA LATITUDE LONGITUDE Date WL(mbgl) Madhya Pradesh Mandsaur Mandsaur Kachnera,23.86389,75.10333,31-08-15,2.4
Madhya Pradesh Mandsaur Mandsaur Mandsaur,24.05750,75.09944,31-08-15,2.3
Madhya Pradesh Mandsaur Mandsaur Mandsaur,24.05278,75.08417,31-08-15,9.1
Madhya Pradesh Mandsaur Mandsaur Nayakhera,24.01444,75.08333,31-08-15,6.3
Madhya Pradesh Mandsaur Sitamau Khejriya,24.05000,75.48972,31-08-15,2.0
Madhya Pradesh Mandsaur Sitamau Manpura,23.88417,75.02639,31-08-15,8.7
Madhya Pradesh Mandsaur Sitamau Sitamau,24.01333,75.34778,31-08-15,1.8
Madhya Pradesh Mandsaur Sitamau Sitamau,24.01250,75.34944,31-08-15,1.4
Madhya Pradesh Mandsaur Sitamau Surjani,24.02528,75.44500,31-08-15,3.4
Madhya Pradesh Mandsaur Sitamau Suwasara,24.07694,75.64250,31-08-15,7.2
Madhya Pradesh Mandsaur Sitamau Titrod,24.02167,75.42778,31-08-15,2.6
Madhya Pradesh Mauganj Hanumana Hanumana,24.77694,82.08333,31-08-15,2.9
Madhya Pradesh Mauganj Hanumana Madha,24.74139,82.04556,31-08-15,5.0
Madhya Pradesh Mauganj Hanumana Pratapganj,24.71000,82.10917,31-08-15,3.8
Madhya Pradesh Mauganj Mauganj Deotalav,24.68194,81.71472,31-08-15,10.2
Madhya Pradesh Mauganj Mauganj Khatkhari,24.70889,81.99250,31-08-15,1.7
Madhya Pradesh Mauganj Mauganj Mauganj,24.67500,81.88889,31-08-15,4.1
Madhya Pradesh Mauganj Mauganj Pahadi,24.75000,81.88611,31-08-15,3.6
Madhya Pradesh Mauganj Mauganj Sitapur,24.55278,81.77000,31-08-15,3.2
Madhya Pradesh Mauganj Naigarhi Naigarhi,24.78667,81.77500,31-08-15,9.6
Madhya Pradesh Morena Joura Huseinpur,26.40528,77.60250,31-08-15,4.5
Madhya Pradesh Morena Joura Jafrabad,26.43056,77.87667,31-08-15,13.3
Madhya Pradesh Morena Kailaras Kailaras,26.29917,77.60861,31-08-15,2.4
Madhya Pradesh Morena Kailaras Tonga Gaon,26.25528,77.43806,31-08-15,2.8
Madhya Pradesh Morena Morena Khera Mewda,26.55139,78.08000,31-08-15,21.7
Madhya Pradesh Morena Pahadgarh Pahargarh,26.20000,77.63917,31-08-15,2.6
Madhya Pradesh Morena Porsa Aurethi,26.67778,78.38028,31-08-15,30.2
Madhya Pradesh Morena Porsa Bareha,26.74722,78.23750,31-08-15,23.8
Madhya Pradesh Morena Sabalgarh Mangrol,26.22250,77.35194,31-08-15,3.8
Madhya Pradesh Morena Sabalgarh Ranipura,26.20639,77.33472,31-08-15,2.7
Madhya Pradesh Morena Sabalgarh Tentra,26.17722,77.30500,31-08-15,15.8
Madhya Pradesh Narmadapuram Kesla Gurra,22.63000,77.91806,31-08-15,10.3
Madhya Pradesh Narmadapuram Kesla Kesla,22.47750,77.83972,31-08-15,3.8
Madhya Pradesh Narmadapuram Kesla Pathrauta,22.57639,77.79583,31-08-15,6.9
Madhya Pradesh Narmadapuram Kesla Sankhera,22.61667,77.83417,31-08-15,1.8
Madhya Pradesh Narmadapuram Kesla Suktawa,22.40750,77.84278,31-08-15,1.1
Madhya Pradesh Narmadapuram Makhan Nagar Babai,22.70000,77.93889,31-08-15,4.3
Madhya Pradesh Narmadapuram Makhan Nagar Bagratawa,22.62917,77.99306,31-08-15,10.6
Madhya Pradesh Narmadapuram Makhan Nagar Baharpur,22.73556,78.07361,31-08-15,8.3
Madhya Pradesh Narmadapuram Narmadapuram Dolaria,22.62639,77.63889,31-08-15,4.4
Madhya Pradesh Narmadapuram Narmadapuram Nimsadia,22.70778,77.80556,31-08-15,2.8
Madhya Pradesh Narmadapuram Narmadapuram Raisalpur,22.66917,77.75778,31-08-15,5.8
August month Depth to Water Level (In mbgl) Data of Unconfined Aquifer STATE_UT DISTRICT BLOCK VILLAGE_NA LATITUDE LONGITUDE Date WL(mbgl) Madhya Pradesh Narmadapuram Narmadapuram Sanwalkhera,22.65000,77.67667,31-08-15,4.8
Madhya Pradesh Narmadapuram Pipariya Matkuli,22.59222,78.45778,31-08-15,7.0
Madhya Pradesh Narmadapuram Pipariya Pachmarhi,22.47722,78.43917,31-08-15,0.5
Madhya Pradesh Narmadapuram Pipariya Sandia,22.91250,78.35528,31-08-15,13.5
Madhya Pradesh Narmadapuram Seoni Malwa Bhilatdeo,22.49083,77.52833,31-08-15,5.2
Madhya Pradesh Narmadapuram Seoni Malwa Seonimalwa,22.44833,77.46556,31-08-15,4.1
Madhya Pradesh Narmadapuram Sohagpur Semri Harchand,22.68861,78.09194,31-08-15,3.2
Madhya Pradesh Narmadapuram Sohagpur Sohagpur,22.69417,78.18861,31-08-15,5.7
Madhya Pradesh Narsimhapur Chawarpatha Dobhi,23.11472,78.92500,31-08-15,20.4
Madhya Pradesh Narsimhapur Chawarpatha Gundrai,23.17722,79.03194,31-08-15,2.6
